Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Çizgili-Dokuma-Takım-Elbise,,,,,,,,Size,54,,,,,,,,,,,,,,,,https://www.trendyol.com/ty158/product/media/images/20210814/9/118439283/226847141/1/1_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,Size,56,,,,,,,,,,,,,,,,https://www.trendyol.com/ty158/product/media/images/20210814/9/118439283/226847141/1/1_org_zoom.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty157/product/media/images/20210814/9/118439283/226847141/2/2_org_zoom.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty156/product/media/images/20210814/9/118439283/226847141/3/3_org_zoom.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty156/product/media/images/20210814/9/118439283/226847141/4/4_org_zoom.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty157/product/media/images/20210814/9/118439283/226847141/5/5_org_zoom.jpg,11,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,Kareli Dokuma Takım Elbise,Takım elbise .Desen: Kareli. Model: Zeroweıght. Line: Klasik. Cep: Normal kapaklı. Kalıp: Dynamıc. Yırtmaç tipi: Çift. Iç astar: Tam astarlı.. Yaka: Mono. Karışım: Saf yün.,REXGOLL,,Takım Elbise,Takım Elbise,TRUE,Size,46,,,,,,200,shopify,4825,deny,manual,187.59,187.59,TRUE,TRUE,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Kareli-Dokuma-Takım-Elbise,,,,,,,,Size,46,,,,,,,,,,,,,,,,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,Size,48,,,,,,,,,,,,,,,,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/1/1_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
Kareli-Dokuma-Takım-Elbise,,,,,,,,Size,52,,,,,,,,,,,,,,,,https://www.trendyol.com/ty154/product/media/images/20210806/15/116330180/222978508/1/1_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
